metric,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AdvertisingExpense,,4500000000,4100000000,4100000000,4400000000,4400000000,4400000000,4300000000,4300000000,4300000000,4100000000,4000000000,3600000000,3100000000,3100000000,2800000000
Revenues,170572000000,143584000000,136264000000,136264000000,146917000000,146917000000,149558000000,151800000000,156776000000,160338000000,160338000000,160338000000,155900000000,158057000000,176191000000,184992000000
SellingGeneralAndAdministrativeExpense,21430000000,21065000000,13029000000,12182000000,13176000000,14117000000,15716000000,12196000000,11527000000,11527000000,11527000000,11403000000,11915000000,11915000000,11915000000,10888000000
