video_id,title,channel,upload_date_iso,duration_seconds,view_count,like_count,engagement_pct,category,tags,watch_url
7qxMxXY8v18,READY SET FORD | Ford,Ford Motor Company,2025-09-10,60,24549,503,2.05,Autos & Vehicles,"Car, Automobile",https://www.youtube.com/watch?v=7qxMxXY8v18
Iw77oanm0Ow,READY SET FORD™,Ford Canada,2025-09-16,60,611,13,2.13,Autos & Vehicles,"ford motor company of canada, ford canada",https://www.youtube.com/watch?v=Iw77oanm0Ow
QrlwWXer9rY,To Those Who Can | Ford,Ford Motor Company,2025-09-10,30,3626,150,4.14,Autos & Vehicles,"Car, Automobile",https://www.youtube.com/watch?v=QrlwWXer9rY
iUILn5NRtvU,READY SET FORD™,Ford Canada,2025-09-16,60,603,12,1.99,Autos & Vehicles,"ford motor company of canada, ford canada",https://www.youtube.com/watch?v=iUILn5NRtvU
oMIxIBEeh1o,Up to the Task | Ford,Ford Motor Company,2025-09-10,15,4550,88,1.93,Autos & Vehicles,"Car, Automobile",https://www.youtube.com/watch?v=oMIxIBEeh1o
